year,hires,termination,count_change,net_change_percent
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,201,941,82.40
2004,1135,204,931,82.03
2005,1097,188,909,82.86
2006,1118,187,931,83.27
2007,1090,153,937,85.96
2008,1108,146,962,86.82
2009,1140,158,982,86.14
2010,1099,136,963,87.63
2011,1101,120,981,89.10
2012,1103,115,988,89.57
2013,1105,98,1007,91.13
2014,1053,95,958,90.98
2015,1059,84,975,92.07
2016,1122,73,1049,93.49
2017,1091,58,1033,94.68
2018,1147,54,1093,95.29
2019,1083,53,1030,95.11
2020,1012,33,979,96.74
